tipo_proceso;subtipo_proceso;;etapa_procesal;;juzgado
;;;ADMITE APELACION;;(110110204000) SECRETARIA
;;;SOLICITUD DE SUSPENSION DEL PROCESO;;(110110115000) SECRETARIA
;;;SOLICITUD DE TERMINACION POR NOVACION;;(110012221000) DESPACHO DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE BOGOTA
;;;SOLICITUD DE TERMINACION POR REESTRUCTURACION;;(110110203000) SECRETARIA
;;;SOLICITUD TERMINACION PAGO DE LA MORA;;(110110315000) SECRETARIA
;;;SOLICITUD RETIRO DE LA DEMANDA;;(110110324000) SECRETARIA
;;;AVOCA CONOCIMIENTO;;(130012212000) DESPACHO DE LA SALA CIVIL LABORAL DEL TRIBUNAL SUPERIOR DE CARTAGENA
;;;CONFIRMA PROVIDENCIA ;;(110110230000) SECRETARIA
;;;INSCRIPCION COMFECAMARAS;;(110110325000) SECRETARIA
;;;CARTA PREAVISO PAGO DIRECTO;;(110110215000) SECRETARIA
;;;VEHICULO APREHENDIDO;;(110110102000) SECRETARIA
;;;APROPIACION DEL VEHICULO;;(110013403000) JUZGADO DE EJECUCION CIVIL DEL CIRCUITO DE BOGOTA
;;;SOLICITUD DE TERMINACION PAGO DIRECTO;;(110110326000) SECRETARIA
;;;AVISO CARTA PRE INICIO EJECUCION AL CLIENTE;;(110017087000) CENTRO DE SERVICIOS ADMINISTRATIVOS 000 EJECUCION DE PENAS Y MEDIDAS DE SEGURIDAD DE BOGOTA D.C.
;;;SOLICITUD INSCRIPCION DE EJECUCION CONFECAMARAS;;(110110205000) SECRETARIA
;;;SOLICITUD DE APREHENSION AL JUEZ;;(110012212000) DESPACHO DE LA SALA CIVIL LABORAL DEL TRIBUNAL SUPERIOR DE BOGOTA
;;;ORDENAN APREHENSION DEL VEHICULO;;(110014310000) JUZGADO MUNICIPAL DE EJECUCION EN ASUNTOS DE FAMILIA DE BOGOTA
;;;VEHICULO APREHENDIDO;;(110110327000) SECRETARIA
;;;AVALUO PERITO;;(110014303000) JUZGADO CIVIL MUNICIPAL DE EJECUCION DE BOGOTA
;;;APROPIACION DEL VEHICULO A NOMBRE DEL BANCO;;(110110415000) SECRETARIA
;;;ENTREGA VOLUNTARIA DEL VEHICULO;;(110110328000) SECRETARIA
;;;RECHAZA LIQUIDACION PATRIMONIAL;;(110013110000) JUZGADO DE FAMILIA DEL CIRCUITO DE BOGOTA
;;;SOLICITUD DE TERMINACION POR NOVACION;;(110110815000) SECRETARIA
;;;TERMINADO POR NOVACION;;(110110329000) SECRETARIA
